CID.1	CID.2	AcctType	Revenue	Date	Column1	_1	_2
INZ	56565	IRA	143143	23-12-2017			
INZ	56567	CD	55555	05-12-2017			
INZ	56569	Checking	11490	22-12-2017			
INZ	56571	CD	11490	08-12-2017			
INZ	56573	Savings	12599	14-12-2017			
INZ	56575	Savings	12980	07-12-2017			
INZ	56577	Savings	12599	17-12-2017			
INZ	56579	Savings	12980	10-12-2017			
INZ	56581	CD	12980	17-12-2017			
INZ	56583	CD	12980	17-12-2017			
INZ	56585	Savings	12599	06-12-2017			
INZ	56587	Savings	12980	06-12-2017			
INZ	56589	Checking	12980	25-12-2017			
INZ	56591	Savings	11490	03-12-2017			
INZ	56593	Checking	12599	02-12-2017			
INZ	56595	Checking	11490	18-12-2017			
INZ	56597	Checking	12599	21-12-2017			
INZ	56599	Savings	12599	12-12-2017			
INZ	56601	Checking	11490	28-12-2017			
INZ	56603	CD	12599	24-12-2017			
INZ	56605	CD	11490	10-12-2017			
INZ	56607	Checking	11490	16-12-2017			
INZ	56609	Savings	11490	01-12-2017			
INZ	56611	CD	12599	24-12-2017			
INZ	56613	Checking	12599	10-12-2017			
INZ	56615	Checking	12599	28-12-2017			
INZ	56617	Checking	11490	05-12-2017			
INZ	56619	Checking	11490	29-12-2017			
INZ	56621	Checking	11490	30-12-2017			
INZ	56623	CD	12599	25-12-2017			
INZ	56625	Checking	12599	11-12-2017			
INZ	56627	Checking	11490	20-12-2017			
INZ	56629	CD	11490	18-12-2017			
INZ	56631	Checking	11490	23-12-2017			
INZ	56633	Savings	11490	10-12-2017			
INZ	56635	Savings	11490	22-12-2017			
INZ	56637	Checking	11490	28-12-2017			
INZ	56639	Checking	11490	14-12-2017			
INZ	56641	Savings	12599	29-12-2017			
INZ	56643	Savings	11490	18-12-2017			
INZ	56645	Checking	12980	31-12-2017			
INZ	56647	Checking	12599	29-12-2017			
INZ	56649	Checking	11490	29-12-2017			
INZ	56651	Savings	12599	28-12-2017			
INZ	56653	Checking	11490	17-12-2017			
INZ	56655	CD	12599	15-12-2017			
INZ	56657	Checking	12599	29-12-2017			
INZ	56659	CD	12599	13-12-2017			
INZ	56661	Checking	12980	13-12-2017			
INZ	56663	CD	12980	09-12-2017			
INZ	56665	Savings	11490	03-12-2017			
INZ	56667	Savings	11490	01-12-2017			
INZ	56669	Savings	12599	03-12-2017			
INZ	56671	Savings	11490	09-12-2017			
INZ	56565	IRA	11490	23-12-2017			
INZ	56567	CD	11490	05-12-2017			
INZ	56569	Checking	11490	22-12-2017			
INZ	56571	CD	11490	08-12-2017			
INZ	56573	Savings	12599	14-12-2017			
INZ	56575	Savings	12980	07-12-2017			
INZ	56577	Savings	12599	17-12-2017			
INZ	56579	Savings	12980	10-12-2017			
INZ	56581	CD	12980	17-12-2017			
INZ	56583	CD	12980	17-12-2017			
INZ	56585	Savings	12599	06-12-2017			
INZ	56587	Savings	12980	06-12-2017			
INZ	56589	Checking	12980	25-12-2017			
INZ	56591	Savings	11490	03-12-2017			
INZ	56593	Checking	12599	02-12-2017			
INZ	56595	Checking	11490	18-12-2017			
INZ	56597	Checking	12599	21-12-2017			
INZ	56599	Savings	12599	12-12-2017			
INZ	56601	Checking	11490	28-12-2017			
INZ	56603	CD	12599	24-12-2017			
INZ	56605	CD	11490	10-12-2017			
INZ	56607	Checking	11490	16-12-2017			
INZ	56609	Savings	11490	01-12-2017			
INZ	56611	CD	12599	24-12-2017			
INZ	56613	Checking	12599	10-12-2017			
INZ	56615	Checking	12599	28-12-2017			
INZ	56617	Checking	11490	05-12-2017			
INZ	56619	Checking	11490	29-12-2017			
INZ	56621	Checking	11490	30-12-2017			
INZ	56623	CD	12599	25-12-2017			
INZ	56625	Checking	12599	11-12-2017			
INZ	56627	Checking	11490	20-12-2017			
INZ	56629	CD	11490	18-12-2017			
INZ	56631	Checking	11490	23-12-2017			
INZ	56633	Savings	11490	10-12-2017			
INZ	56635	Savings	11490	22-12-2017			
INZ	56637	Checking	11490	28-12-2017			
INZ	56639	Checking	11490	14-12-2017			
INZ	56641	Savings	12599	29-12-2017			
INZ	56643	Savings	11490	18-12-2017			
INZ	56645	Checking	12980	31-12-2017			
INZ	56647	Checking	12599	29-12-2017			
INZ	56649	Checking	11490	29-12-2017			
INZ	56651	Savings	12599	28-12-2017			
INZ	56653	Checking	11490	17-12-2017			
INZ	56655	CD	12599	15-12-2017			
INZ	56657	Checking	12599	29-12-2017			
INZ	56659	CD	12599	13-12-2017			
INZ	56661	Checking	12980	13-12-2017			
INZ	56663	CD	12980	09-12-2017			
INZ	56665	Savings	11490	03-12-2017			
INZ	56667	Savings	11490	01-12-2017			
INZ	56669	Savings	12599	03-12-2017			
INZ	56671	Savings	11490	09-12-2017			
INZ	56565	IRA	11490	23-12-2017			
INZ	56567	CD	11490	05-12-2017			
INZ	56569	Checking	11490	22-12-2017			
INZ	56571	CD	11490	08-12-2017			
INZ	56573	Savings	12599	14-12-2017			
INZ	56575	Savings	12980	07-12-2017			
INZ	56577	Savings	12599	17-12-2017			
INZ	56579	Savings	12980	10-12-2017			
INZ	56581	CD	12980	17-12-2017			
INZ	56583	CD	12980	17-12-2017			
INZ	56585	Savings	12599	06-12-2017			
INZ	56587	Savings	12980	06-12-2017			
INZ	56589	Checking	12980	25-12-2017			
INZ	56591	Savings	11490	03-12-2017			
INZ	56593	Checking	12599	02-12-2017			
INZ	56595	Checking	11490	18-12-2017			
INZ	56597	Checking	12599	21-12-2017			
INZ	56599	Savings	12599	12-12-2017			
INZ	56601	Checking	11490	28-12-2017			
INZ	56603	CD	12599	24-12-2017			
INZ	56605	CD	11490	10-12-2017			
INZ	56607	Checking	11490	16-12-2017			
INZ	56609	Savings	11490	01-12-2017			
INZ	56611	CD	12599	24-12-2017			
INZ	56613	Checking	12599	10-12-2017			
INZ	56615	Checking	12599	28-12-2017			
INZ	56617	Checking	11490	05-12-2017			
INZ	56619	Checking	11490	29-12-2017			
INZ	56621	Checking	11490	30-12-2017			
INZ	56623	CD	12599	25-12-2017			
INZ	56625	Checking	12599	11-12-2017			
INZ	56627	Checking	11490	20-12-2017			
INZ	56629	CD	11490	18-12-2017			
INZ	56631	Checking	11490	23-12-2017			
INZ	56633	Savings	11490	10-12-2017			
INZ	56635	Savings	11490	22-12-2017			
INZ	56637	Checking	11490	28-12-2017			
INZ	56639	Checking	11490	14-12-2017			
INZ	56641	Savings	12599	29-12-2017			
INZ	56643	Savings	11490	18-12-2017			
INZ	56645	Checking	12980	31-12-2017			
INZ	56647	Checking	12599	29-12-2017			
INZ	56649	Checking	11490	29-12-2017			
INZ	56651	Savings	12599	28-12-2017			
INZ	56653	Checking	11490	17-12-2017			
INZ	56655	CD	12599	15-12-2017			
INZ	56657	Checking	12599	29-12-2017			
INZ	56659	CD	12599	13-12-2017			
INZ	56661	Checking	12980	13-12-2017			
INZ	56663	CD	12980	09-12-2017			
INZ	56665	Savings	11490	03-12-2017			
INZ	56667	Savings	11490	01-12-2017			
INZ	56669	Savings	12599	03-12-2017			
INZ	56671	Savings	11490	09-12-2017			
INZ	56565	IRA	11490	23-12-2017			
INZ	56567	CD	11490	05-12-2017			
INZ	56569	Checking	11490	22-12-2017			
INZ	56571	CD	11490	08-12-2017			
INZ	56573	Savings	12599	14-12-2017			
INZ	56575	Savings	12980	07-12-2017			
INZ	56577	Savings	12599	17-12-2017			
INZ	56579	Savings	12980	10-12-2017			
INZ	56581	CD	12980	17-12-2017			
INZ	56583	CD	12980	17-12-2017			
INZ	56585	Savings	12599	06-12-2017			
INZ	56587	Savings	12980	06-12-2017			
INZ	56589	Checking	12980	25-12-2017			
INZ	56591	Savings	11490	03-12-2017			
INZ	56593	Checking	12599	02-12-2017			
INZ	56595	Checking	11490	18-12-2017			
INZ	56597	Checking	12599	21-12-2017			
INZ	56599	Savings	12599	12-12-2017			
INZ	56601	Checking	11490	28-12-2017			
INZ	56603	CD	12599	24-12-2017			
INZ	56605	CD	11490	10-12-2017			
INZ	56607	Checking	11490	16-12-2017			
INZ	56609	Savings	11490	01-12-2017			
INZ	56611	CD	12599	24-12-2017			
INZ	56613	Checking	12599	10-12-2017			
INZ	56615	Checking	12599	28-12-2017			
INZ	56617	Checking	11490	05-12-2017			
INZ	56619	Checking	11490	29-12-2017			
INZ	56621	Checking	11490	30-12-2017			
INZ	56623	CD	12599	25-12-2017			
INZ	56625	Checking	12599	11-12-2017			
INZ	56627	Checking	11490	20-12-2017			
INZ	56629	CD	11490	18-12-2017			
INZ	56631	Checking	11490	23-12-2017			
INZ	56633	Savings	11490	10-12-2017			
INZ	56635	Savings	11490	22-12-2017			
INZ	56637	Checking	11490	28-12-2017			
INZ	56639	Checking	11490	14-12-2017			
INZ	56641	Savings	12599	29-12-2017			
INZ	56643	Savings	11490	18-12-2017			
INZ	56645	Checking	12980	31-12-2017			
INZ	56647	Checking	12599	29-12-2017			
INZ	56649	Checking	11490	29-12-2017			
INZ	56651	Savings	12599	28-12-2017			
INZ	56653	Checking	11490	17-12-2017			
INZ	56655	CD	12599	15-12-2017			
INZ	56657	Checking	12599	29-12-2017			
INZ	56659	CD	12599	13-12-2017			
INZ	56661	Checking	12980	13-12-2017			
INZ	56663	CD	12980	09-12-2017			
INZ	56665	Savings	11490	03-12-2017			
INZ	56667	Savings	11490	01-12-2017			
INZ	56669	Savings	12599	03-12-2017			
INZ	56671	Savings	11490	09-12-2017			
INZ	56565	IRA	11490	23-12-2017			
INZ	56567	CD	11490	05-12-2017			
INZ	56569	Checking	11490	22-12-2017			
INZ	56571	CD	11490	08-12-2017			
INZ	56573	Savings	12599	14-12-2017			
INZ	56575	Savings	12980	07-12-2017			
INZ	56577	Savings	12599	17-12-2017			
INZ	56579	Savings	12980	10-12-2017			
INZ	56581	CD	12980	17-12-2017			
INZ	56583	CD	12980	17-12-2017			
INZ	56585	Savings	12599	06-12-2017			
INZ	56587	Savings	12980	06-12-2017			
INZ	56589	Checking	12980	25-12-2017			
INZ	56591	Savings	11490	03-12-2017			
INZ	56593	Checking	12599	02-12-2017			
INZ	56595	Checking	11490	18-12-2017			
INZ	56597	Checking	12599	21-12-2017			
INZ	56599	Savings	12599	12-12-2017			
INZ	56601	Checking	11490	28-12-2017			
INZ	56603	CD	12599	24-12-2017			
INZ	56605	CD	11490	10-12-2017			
INZ	56607	Checking	11490	16-12-2017			
INZ	56609	Savings	11490	01-12-2017			
INZ	56611	CD	12599	24-12-2017			
INZ	56613	Checking	12599	10-12-2017			
INZ	56615	Checking	12599	28-12-2017			
INZ	56617	Checking	11490	05-12-2017			
INZ	56619	Checking	11490	29-12-2017			
INZ	56621	Checking	11490	30-12-2017			
INZ	56623	CD	12599	25-12-2017			
INZ	56625	Checking	12599	11-12-2017			
INZ	56627	Checking	11490	20-12-2017			
INZ	56629	CD	11490	18-12-2017			
INZ	56631	Checking	11490	23-12-2017			
INZ	56633	Savings	11490	10-12-2017			
INZ	56635	Savings	11490	22-12-2017			
INZ	56637	Checking	11490	28-12-2017			
INZ	56639	Checking	11490	14-12-2017			
INZ	56641	Savings	12599	29-12-2017			
INZ	56643	Savings	11490	18-12-2017			
INZ	56645	Checking	12980	31-12-2017			
INZ	56647	Checking	12599	29-12-2017			
INZ	56649	Checking	11490	29-12-2017			
INZ	56651	Savings	12599	28-12-2017			
INZ	56653	Checking	11490	17-12-2017			
INZ	56655	CD	12599	15-12-2017			
INZ	56657	Checking	12599	29-12-2017			
INZ	56659	CD	12599	13-12-2017			
INZ	56661	Checking	12980	13-12-2017			
INZ	56663	CD	12980	09-12-2017			
INZ	56665	Savings	11490	03-12-2017			
INZ	56667	Savings	11490	01-12-2017			
INZ	56669	Savings	12599	03-12-2017			
INZ	56671	Savings	11490	09-12-2017			
INZ	56565	IRA	11490	23-12-2017			
INZ	56567	CD	11490	05-12-2017			
INZ	56569	Checking	11490	22-12-2017			
INZ	56571	CD	11490	08-12-2017			
INZ	56573	Savings	12599	14-12-2017			
INZ	56575	Savings	12980	07-12-2017			
INZ	56577	Savings	12599	17-12-2017			
INZ	56579	Savings	12980	10-12-2017			
INZ	56581	CD	12980	17-12-2017			
INZ	56583	CD	12980	17-12-2017			
INZ	56585	Savings	12599	06-12-2017			
INZ	56587	Savings	12980	06-12-2017			
INZ	56589	Checking	12980	25-12-2017			
INZ	56591	Savings	11490	03-12-2017			
INZ	56593	Checking	12599	02-12-2017			
INZ	56595	Checking	11490	18-12-2017			
INZ	56597	Checking	12599	21-12-2017			
INZ	56599	Savings	12599	12-12-2017			
INZ	56601	Checking	11490	28-12-2017			
INZ	56603	CD	12599	24-12-2017			
INZ	56605	CD	11490	10-12-2017			
INZ	56607	Checking	11490	16-12-2017			
INZ	56609	Savings	11490	01-12-2017			
INZ	56611	CD	12599	24-12-2017			
INZ	56613	Checking	12599	10-12-2017			
INZ	56615	Checking	12599	28-12-2017			
INZ	56617	Checking	11490	05-12-2017			
INZ	56619	Checking	11490	29-12-2017			
INZ	56621	Checking	11490	30-12-2017			
INZ	56623	CD	12599	25-12-2017			
INZ	56625	Checking	12599	11-12-2017			
INZ	56627	Checking	11490	20-12-2017			
INZ	56629	CD	11490	18-12-2017			
INZ	56631	Checking	11490	23-12-2017			
INZ	56633	Savings	11490	10-12-2017			
INZ	56635	Savings	11490	22-12-2017			
INZ	56637	Checking	11490	28-12-2017			
INZ	56639	Checking	11490	14-12-2017			
INZ	56641	Savings	12599	29-12-2017			
INZ	56643	Savings	11490	18-12-2017			
INZ	56645	Checking	12980	31-12-2017			
INZ	56647	Checking	12599	29-12-2017			
INZ	56649	Checking	11490	29-12-2017			
INZ	56651	Savings	12599	28-12-2017			
INZ	56653	Checking	11490	17-12-2017			
INZ	56655	CD	12599	15-12-2017			
INZ	56657	Checking	12599	29-12-2017			
INZ	56659	CD	12599	13-12-2017			
INZ	56661	Checking	12980	13-12-2017			
INZ	56663	CD	12980	09-12-2017			
INZ	56665	Savings	11490	03-12-2017			
INZ	56667	Savings	11490	01-12-2017			
INZ	56669	Savings	12599	03-12-2017			
INZ	56671	Savings	11490	09-12-2017			
