directorId,directorName,movieCount,ratingSum,normalizedMovieRank,googleHits,normalizedGoogleRank,normalizedRating
1,Rajkumar Hirani,3,440,10,146000,2.077960014,10
2,Farah Khan,4,440,7.394740105,1060000,8.883170128,8.784729958
3,Karan Johar,5,430,5.689469814,1050000,8.808719635,7.104599953
4,Sajid Khan,4,350,5.796050072,905000,7.729119778,6.997799873
5,Rohit Shetty,10,950,6.328949928,437000,4.244609833,6.837609768
6,Kabir Khan,3,270,5.973680019,666000,5.949639797,6.823679924
7,Anil Sharma,6,390,4.197370052,1110000,9.255450249,5.734469891
8,Farhan Akhtar,4,290,4.730259895,742000,6.515490055,5.7197299
9,Siddharth Anand,5,400,5.263160229,312000,3.313920021,5.61480999
10,Anees Bazmee,7,600,5.669169903,34400,1.247040033,5.607619762
11,Prabhudheva,4,330,5.440790176,153000,2.130079985,5.557050228
12,Shaad Ali,3,240,5.263160229,68900,1.503909945,5.261229992
13,Anurag Basu,8,510,4.108550072,755000,6.612289906,5.131390095
14,Mohit Suri,8,560,4.552629948,319000,3.366039991,4.930990219
15,Sanjay Leela Bhansali,5,300,3.842109919,790000,6.872879982,4.922049999
16,Imtiaz Ali,5,270,3.415790081,1050000,8.808719635,4.883810043
17,Mani Ratnam,3,170,3.605259895,921000,7.848239899,4.881249905
18,David Dhawan,11,670,3.906699896,622000,5.622029781,4.74078989
19,Aanand Rai,3,220,4.789470196,20700,1.145040035,4.728459835
20,Ashwani Dhir,3,220,4.789470196,5100,1.028890014,4.705770016
21,Raj Kumar Gupta,3,140,2.894740105,1210000,10,4.607590199
22,Rakeysh Omprakash Mehra,4,280,4.552629948,29900,1.213539958,4.510509968
23,Sanjay Gadhvi,6,410,4.434209824,16600,1.114510059,4.375500202
24,Indra Kumar,7,420,3.842109919,239000,2.770400047,4.120639801
25,Kunal Deshmukh,4,250,4.019740105,107000,1.787590027,4.102149963
26,Kunal Kohli,5,310,3.984210014,112000,1.824820042,4.074729919
27,Abhishek Kapoor,3,160,3.368419886,500000,4.71367979,4.037590027
28,N. Chandra,3,120,2.421050072,1010000,8.510899544,3.854039907
29,Priyadarshan,19,1050,3.505539894,277000,3.053329945,3.84717989
30,Shoojit Sircar,3,180,3.842109919,27800,1.197900057,3.813460112
31,Ashutosh Gowariker,5,250,3.131580114,460000,4.415860176,3.748080015
32,Ram Gopal Varma,17,680,2.421050072,934000,7.945040226,3.743499994
33,Vishal Bhardwaj,5,210,2.563159943,769000,6.716519833,3.642309904
34,Abbas Alibhai Burmawalla,10,580,3.700000048,4700,1.02591002,3.641060114
35,Mastan Alibhai Burmawalla,10,580,3.700000048,3890,1.019880056,3.639889956
36,Milan Luthria,7,390,3.537590027,105000,1.772699952,3.628319979
37,Prakash Jha,7,370,3.334589958,227000,2.681050062,3.607480049
38,Sanjay Gupta,5,180,2.136840105,937000,7.967370033,3.470269918
39,Zoya Akhtar,3,160,3.368419886,98600,1.725049973,3.453769922
40,Madhur Bhandarkar,10,490,3.060529947,185000,2.368340015,3.278709888
41,Vipul Amrutlal Shah,5,260,3.273679972,7700,1.04824996,3.229029894
42,Pooja Bhatt,3,120,2.421050072,487000,4.616889954,3.093359947
43,Anubhav Sinha,6,290,3.01315999,64100,1.468170047,3.056600094
44,Raj Kanwar,5,240,2.989470005,75400,1.55230999,3.049900055
45,Anurag Kashyap,8,240,1.710530043,928000,7.900360107,3.040780067
46,Krishna D.K.,3,120,2.421050072,418000,4.103149891,2.993000031
47,Vikram Bhatt,16,640,2.421050072,356000,3.641520023,2.90282011
48,Dibakar Banerjee,5,230,2.847369909,42300,1.305860043,2.8629601
